ce, adv, dro, di, bc, os, uw, us, bm, bc+os, bc+us, bc+uw
92.685,91.525,92.685,92.375,88.813,76.951,90.248,71.25,92.754,75.398,74.318,89.651,
92.952,91.735,92.952,92.732,89.488,76.004,91.202,70.682,93.152,74.015,70.701,89.315,
92.695,91.353,92.695,92.705,88.957,78.655,90.715,72.386,92.93,75.379,71.496,89.331,
91.966,90.713,91.017,92.705,89.209,77.159,90.646,74.602,91.961,73.39,70.341,88.861,
92.107,90.792,92.107,92.176,88.643,75.833,89.877,70.795,92.387,74.962,69.754,87.974,
92.207,90.135,91.645,92.056,88.841,78.295,88.436,68.447,92.045,76.496,67.311,90.164,
91.908,90.173,86.734,91.379,88.438,74.375,88.934,68.598,91.782,74.716,68.542,90.081,
89.028,86.597,89.028,86.426,88.784,72.992,82.386,68.447,89.34,72.045,65.341,89.961,
96.236,95.973,82.688,86.688,86.203,67.689,84.763,66.383,82.169,70.758,63.466,87.355,
97.165,95.293,94.977,87.584,80.869,63.826,78.844,65.644,83.24,63.561,61.553,83.503,
96.068,89.825,96.068,77.746,64.432,59.451,57.468,59.792,65.239,58.201,52.254,81.464,
95.596,94.432,89.131,66.327,74.001,60.587,51.369,55.417,50.0,57.254,52.311,86.325,
96.398,93.624,61.408,64.203,50.0,57.064,62.51,51.761,50.0,54.773,55.36,77.486,
95.671,92.035,95.671,61.767,50.0,53.409,47.848,55.455,66.263,57.33,56.364,52.56,
